證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
1102,亞泥,202103  ,M1100,M1100,11A,11A
1103,嘉泥,202103  ,M1100,M1100,11A,11A
1104,環泥,202103  ,M1100,M1100,11A,11A
1108,幸福,202103  ,M1100,M1100,11A,11A
1109,信大,202103  ,M1100,M1100,11A,11A
1110,東泥,202103  ,M1100,M1100,11A,11A
1201,味全,202103  ,M1200,M1200,12C,12C
1203,味王,202103  ,M1200,M1200,12Z,12Z
1210,大成,202103  ,M1200,M1200,12B,12B
1213,大飲,202103  ,M1200,M1200,12C,12C
1215,卜蜂,202103  ,M1200,M1200,12B,12B
1216,統一,202103  ,M1200,M1200,12C,12C
1217,愛之味,202103  ,M1200,M1200,12A,12A
1218,泰山,202103  ,M1200,M1200,12B,12B
1219,福壽,202103  ,M1200,M1200,12B,12B
1220,台榮,202103  ,M1200,M1200,12B,12B
1225,福懋油,202103  ,M1200,M1200,12B,12B
1227,佳格,202103  ,M1200,M1200,12Z,12Z
1229,聯華,202103  ,M1200,M1200,12B,12B
1231,聯華食,202103  ,M1200,M1200,12Z,12Z
1232,大統益,202103  ,M1200,M1200,12B,12B
1233,天仁,202103  ,M1200,M1200,12Z,12Z
1234,黑松,202103  ,M1200,M1200,12C,12C
1235,興泰,202103  ,M1200,M1200,12B,12B
1236,宏亞,202103  ,M1200,M1200,12Z,12Z
1256,鮮活果汁-KY,202103  ,M1200,M1200,12C,12C
1301,台塑,202103  ,M1300,M1300,13A,13A1
1303,南亞,202103  ,M1300,M1300,13A,13A1
1304,台聚,202103  ,M1300,M1300,13A,13A1
1305,華夏,202103  ,M1300,M1300,13A,13A1
1307,三芳,202103  ,M1300,M1300,13A,13A6
1308,亞聚,202103  ,M1300,M1300,13A,13A1
1309,台達化,202103  ,M1300,M1300,13A,13A1
1310,台苯,202103  ,M1300,M1300,13A,13A1
1312,國喬,202103  ,M1300,M1300,13A,13A1
1313,聯成,202103  ,M1300,M1300,13A,13A7
1314,中石化,202103  ,M1300,M1300,13A,13A5
1315,達新,202103  ,M1300,M1300,13A,13A8
1316,上曜,202103  ,M2500,M2500,25A,25A
1319,東陽,202103  ,M2200,M2200,15D,15D
1321,大洋,202103  ,M1300,M1300,13A,13A8
1323,永裕,202103  ,M1300,M1300,13A,13A8
1324,地球,202103  ,M1300,M1300,13A,13A9
1325,恒大,202103  ,M1300,M1300,14F,14F
1326,台化,202103  ,M1300,M1300,13A,13A1
1337,再生-KY,202103  ,M1300,M1300,13B,13B
1338,廣華-KY,202103  ,M2200,M2200,15D,15D
1339,昭輝,202103  ,M2200,M2200,15D,15D
1340,勝悅-KY,202103  ,M1300,M1300,13B,13B
1341,富林-KY,202103  ,M1300,M1300,13A,13A6
1342,八貫,202103  ,M9900,M9900,13B,13B
1402,遠東新,202103  ,M1400,M1400,14A,14A1
1409,新纖,202103  ,M1400,M1400,14A,14A1
1410,南染,202103  ,M1400,M1400,14E,14E
1413,宏洲,202103  ,M1400,M1400,14A,14A2
1414,東和,202103  ,M1400,M1400,14B,14B1
1416,廣豐,202103  ,M9900,M9900,29A,29A1
1417,嘉裕,202103  ,M1400,M1400,14C,14C1
1418,東華,202103  ,M1400,M1400,14B,14B2
1419,新紡,202103  ,M1400,M1400,14C,14C2
